;;2019_msci;2020_msci;2021_msci;2019_compound;2020_compound;2021_compound
1;FORD MOTOR COMPANY;4.10;3.50;3.30;-0.08898305084745763;-0.1017274472168906;-0.09826589595375723
2;STANDARD MOTOR PRODUCTS, INC.;4.20;4.50;4.30;0.0449438202247191;0.03526448362720403;0.043256997455470736
3;TESLA, INC.;5.10;5.30;5.20;-0.05215419501133787;-0.004524886877828055;-0.013368983957219251
7;MCDONALD'S CORPORATION;4.20;5.20;5.10;0.08480565371024736;0.012195121951219513;0.13496932515337423
8;Beyond Meat Inc;5.00;5.00;4.40;0.010282776349614395;-0.03563941299790356;-0.04573804573804574
9;KELLOGG COMPANY;6.20;6.30;6.2;-0.03966597077244259;-0.05182341650671785;-0.04208416833667335
10;THE HERSHEY COMPANY;5.20;4.30;4.10;0.10089020771513353;0.0948509485094851;0.08951406649616368
11;CAMPBELL SOUP COMPANY;5.40;5.20;5.00;-0.10824742268041238;-0.05483028720626632;-0.06353591160220995
15;BANK OF AMERICA CORPORATION;4.50;5.00;4.40;0.01818181818181818;0.019230769230769232;0.019230769230769232
16;CITIGROUP INC.;4.50;5.00;5.30;-0.05045871559633028;-0.046875;0.039711191335740074
17;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;4.30;4.30;4.30;-0.024291497975708502;-0.1021021021021021;-0.09090909090909091
18;MORGAN STANLEY GROUP INC.;5.20;5.40;5.40;-0.05871886120996441;-0.04487179487179487;-0.07155635062611806
19;SVB FINANCIAL GROUP;5.30;5.40;4.30;-0.054140127388535034;-0.03201347935973041;-0.047156726768377254
22;CHEVRON CORPORATION;3.50;5.10;4.50;-0.05045871559633028;-0.046875;0.039711191335740074
23;GENERAL ELECTRIC CAPITAL CORPORATION;5.20;5.20;2.40;-0.042328042328042326;-0.05668016194331984;-0.029940119760479042
24;CONOCOPHILLIPS COMPANY;6.00;5.00;5.00;-0.08396946564885496;-0.03642384105960265;0.03857566765578635