,2019,2020,2021
FORD MOTOR COMPANY,4.10,3.50,3.30
STANDARD MOTOR PRODUCTS. INC.,4.20,4.50,4.30
TESLA. INC.,5.10,5.30,5.20
MCDONALD'S CORPORATION,4.20,5.20,5.10
Beyond Meat Inc,5.00,5.00,4.40
KELLOGG COMPANY,6.20,6.30,6.20
THE HERSHEY COMPANY,5.20,4.30,4.10
CAMPBELL SOUP COMPANY,5.40,5.20,5.00
BANK OF AMERICA CORPORATION,4.50,5.00,4.40
CITIGROUP INC.,4.50,5.00,5.30
JPMORGAN CHASE BANK. NATIONAL ASSOCIATION,4.30,4.30,4.30
MORGAN STANLEY GROUP INC.,5.20,5.40,5.40
SVB FINANCIAL GROUP,5.30,5.40,4.30
CHEVRON CORPORATION,3.50,5.10,4.50
GENERAL ELECTRIC CAPITAL CORPORATION,5.20,5.20,2.40
CONOCOPHILLIPS COMPANY,6.00,5.00,5.00